"visit_date";"day";"time";"house_id";"neighbourhood";"visitor";"agent";"review";"building";"conservation";"size";"price";"location";"did_not_like_the_location";"expected_a_better_preserved_property";"bigger_in_photos";"different_from_the_listing";"others"
"2018-04-04";"2018-04-04";"13:30";892,822,487;Ipanema;Lahna;Rosana;"3";false;false;false;false;false;false;true;true;false;
"2018-04-04";"2018-04-04";"13:00";892,790,378;Paraíso;Nara;Marly;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-04-04";"2018-04-04";"12:00";892,818,184;Vila Mariana;Nara;Carlos;"4";false;false;false;false;false;false;false;true;false;
"2018-04-04";"2018-04-04";"14:30";892,803,391;Saúde;Arthur;Tania;"5";false;true;true;false;true;false;false;false;false;
"2018-04-04";"2018-04-04";"16:30";892,824,927;Vila Clementino;Rafael;Ibiratan;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-04-04";"2018-04-04";"16:30";892,822,516;Alto de Pinheiros;Rodrigo;Jose;"5";false;false;false;false;true;false;false;false;false;
"2018-04-04";"2018-04-04";"15:45";892,824,176;Alto de Pinheiros;Rodrigo;Ricardo;"5";false;false;false;false;true;false;false;false;false;
"2018-04-04";"2018-04-04";"13:00";892,824,263;Vila Mazzei;Larissa;Amanda;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-04-04";"2018-04-04";"14:00";892,824,263;Vila Mazzei;Larissa;Amanda;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-04-04";"2018-04-04";"13:45";892,822,197;Vila Alpina;Caio;Maria;"5";false;false;false;true;true;false;false;false;false;
"2018-04-04";"2018-04-04";"10:30";892,806,850;República;Alice;Sergio;"5";false;true;true;false;false;false;false;false;false;
"2018-04-04";"2018-04-04";"15:30";892,824,890;Vila Mariana;Filipe;Nilton;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-04-04";"4/4/2018";"8:00";892,822,925;Vila Olímpia;Filipe;Eduardo;"2";false;false;false;false;false;true;false;false;false;barulho de avião
